_index,start,end,form1,section1,safety,team_code,rhs_lhs,location,lat,long,alt,precision,date_time,section2,wall_condition,wall_height,fence,wall_material,wall_pic,outdated,street_pic,field_23,section3,bridge_type,bridge_condition,bridge_walkable,bridge_pic,outdated_1,piers_condition,piers_num,piers_pic,section4,field_34,elec_condition,elec_pic,field_37,cables_condition,cables_pic,outdated_2,manholes_condition,manholes_pic,outdated_3,outdated_4,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,meta/rootUuid,_drain,_secondarydrain,team_name,corporatio,valley
116,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A23,Left hand side (LHS),12.8961649 77.5318718 763.3999633789062 3.863,12.8961649,77.5318718,763.3999634,3.863,2026/02/22 11:49:00+0530,,Broken in some places,1,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1771741224525.jpg,,1771741276371.jpg,,,"Vehicular, I can see vehicles on the bridge",Broken wall/fence,Safe to walk (clear path),1771741322799.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290506/attachments/atttHvMLBFfcCpGWmboLCcNp/,No,0,1771741349099.jpg,,,Yes,1771741381508.jpg,,Yes,1771741404368.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290506/attachments/attmKJZmhQC9xe6wT3CqwHPw/,No,,,OK,677290506,02b23c42-abe4-4e7a-a511-ea99d53f24e5,22-02-2026 06:48,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:02b23c42-abe4-4e7a-a511-ea99d53f24e5,RN223,,RNSIT MUN Society,South,Vrishabhavati Valley
117,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A25,Right hand side (RHS),"12.9046716, 77.5115343",12.9046716,77.5115343,732.7000122,51.407,2026/02/22 11:30:00+0530,,Retaining wall intact throughout the stretch,15,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1771740065818.jpg,,,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,No,,,No,,,Cannot see,,,OK,677290507,babdde81-5ab1-45d8-9d7c-7dc307300a51,22-02-2026 06:48,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:babdde81-5ab1-45d8-9d7c-7dc307300a51,RN223,,RNSIT MUN Society,West,Vrishabhavati Valley
118,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A24,Left hand side (LHS),12.8932312 77.5185434 747.2999877929688 3.2,12.8932312,77.5185434,747.2999878,3.2,2026/02/22 10:29:00+0530,,Retaining wall intact throughout the stretch,0,There is no fence ,"Both, SSM and RCC",1771736493342.jpg,,1771736496809.jpg,,,"Vehicular, I can see vehicles on the bridge",Broken wall/fence,Safe to walk (clear path),1771736631773.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290513/attachments/att6vEDLyHgrydK5GmBJ8VAB/,Yes,1,1771736712531.jpg,,,Yes,1771736778403.jpg,,No,,,No,,,OK,677290513,8c1bce04-72a0-4dac-9d6a-7f13526aacb2,22-02-2026 06:48,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:8c1bce04-72a0-4dac-9d6a-7f13526aacb2,RN223,,RNSIT MUN Society,South,Vrishabhavati Valley
119,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A22,Left hand side (LHS),12.8997197 77.5364673 769.545166015625 4.753,12.8997197,77.5364673,769.545166,4.753,2026/02/22 10:38:00+0530,,Retaining wall intact throughout the stretch,4,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1771737086252.jpg,,1771737189658.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,Yes,1771737337290.jpg,,No,,,Yes,1771737389507.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290532/attachments/atta4SQKLnzxxnD3yzHbDmB9/,OK,677290532,934c5985-6886-41da-b9b6-5cd1ff8858f2,22-02-2026 06:48,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:934c5985-6886-41da-b9b6-5cd1ff8858f2,RN223,,RNSIT MUN Society,South,Vrishabhavati Valley
120,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A24,Right hand side (RHS),12.8937101 77.5211194 750.0 3.0,12.8937101,77.5211194,750,3,2026/02/22 10:43:00+0530,,Broken in some places,1,There is no fence ,"Both, SSM and RCC",1771737371600.jpg,,1771737438058.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,Yes,1771737591710.jpg,,No,,,Yes,1771737664762.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290540/attachments/attK9ZWzhTkGM9PSjnWmMBPB/,OK,677290540,c87adf11-beb5-4e38-b7a6-db83485c76af,22-02-2026 06:48,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:c87adf11-beb5-4e38-b7a6-db83485c76af,RN223,,RNSIT MUN Society,South,Vrishabhavati Valley
121,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A23,Left hand side (LHS),12.8969605 77.5322119 763.8999633789062 3.84,12.8969605,77.5322119,763.8999634,3.84,2026/02/22 11:55:00+0530,,Retaining wall intact throughout the stretch,3,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1771741595996.jpg,,1771741612528.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,Yes,1771741654293.jpg,,Yes,1771741663092.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290553/attachments/attcAt5mrsJMhyBaLaWEHCDj/,No,,,OK,677290553,6d2faa04-8320-4b2d-a192-404fb90922cf,22-02-2026 06:48,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:6d2faa04-8320-4b2d-a192-404fb90922cf,RN223,,RNSIT MUN Society,South,Vrishabhavati Valley
122,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A24,Right hand side (RHS),12.8959397 77.5209299 751.7999877929688 4.483,12.8959397,77.5209299,751.7999878,4.483,2026/02/22 10:54:00+0530,,Retaining wall intact throughout the stretch,1,"Yes, covered on sides and top",Reinforced Cement Concrete (RCC),,,1771737985113.jpg,,,Not applicable ,Not applicable,Not applicable,1771737996656.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290559/attachments/attUHXw3Zy3PUyVPSNZbHrEC/,Not applicable,Not applicable,,,,Yes,1771738125321.jpg,,No,,,No,,,OK,677290559,c30cfac8-fa7c-4a72-aab5-80f3f71c9ca4,22-02-2026 06:48,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:c30cfac8-fa7c-4a72-aab5-80f3f71c9ca4,RN223,,RNSIT MUN Society,South,Vrishabhavati Valley
123,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A24,Right hand side (RHS),12.8972786 77.5223746 755.5999755859375 4.9,12.8972786,77.5223746,755.5999756,4.9,2026/02/22 11:04:00+0530,,Broken in some places,0,There is no fence ,Not applicable,1771738539001.jpg,,1771738627180.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,Yes,1771738719979.jpg,,No,,,Cannot see,,,OK,677290587,2b8ca110-2c14-4638-989f-07efa6e788ea,22-02-2026 06:48,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:2b8ca110-2c14-4638-989f-07efa6e788ea,RN223,,RNSIT MUN Society,South,Vrishabhavati Valley
124,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A22,Left hand side (LHS),12.8995878 77.5375315 763.2955322265625 4.115,12.8995878,77.5375315,763.2955322,4.115,2026/02/22 10:51:00+0530,,Retaining wall intact throughout the stretch,6.2,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1771737810763.jpg,,1771737920603.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,No,,,No,,,Yes,1771738000736.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290612/attachments/attCft3tZ2auJXpa6wmCs4WH/,OK,677290612,fc14a26f-b2d8-45d2-be73-fe5e13d0de1f,22-02-2026 06:48,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:fc14a26f-b2d8-45d2-be73-fe5e13d0de1f,RN223,,RNSIT MUN Society,South,Vrishabhavati Valley
125,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A27,Left hand side (LHS),12.9141095 77.5064526 721.2000122070312 4.868,12.9141095,77.5064526,721.2000122,4.868,2026/02/22 10:41:00+0530,,Retaining wall intact throughout the stretch,6,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1771737204426.jpg,,1771737278296.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,Yes,1771737382450.jpg,,No,,,No,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290645/attachments/attH5ZaKuVtb942icLyK4uUD/,OK,677290645,03c8fd24-6e09-436d-b93d-d5fb2e38af69,22-02-2026 06:49,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:03c8fd24-6e09-436d-b93d-d5fb2e38af69,RN223,,RNSIT MUN Society,West,Vrishabhavati Valley
126,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A24,Right hand side (RHS),12.8976457 77.5231963 755.0 4.766,12.8976457,77.5231963,755,4.766,2026/02/22 11:14:00+0530,,Broken in some places,1,There is no fence ,Solid Stone Masonry (SSM),1771739124945.jpg,,1771739158733.jpg,,,"Vehicular, I can see vehicles on the bridge",Intact;  path and fence not broken ,Safe to walk (clear path),1771739248678.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290656/attachments/attGPNeqrsixjPJX9XKT2GVV/,No,0,,,,Yes,1771739319697.jpg,,Yes,1771739342374.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290656/attachments/attAezXxWyqf9nv3rwuFcAhk/,Yes,1771739412511.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290656/attachments/attRPQSyqH7PEWrhhMeGcTB2/,OK,677290656,bb284c2f-f614-4184-8f69-cef1aeb0d302,22-02-2026 06:49,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:bb284c2f-f614-4184-8f69-cef1aeb0d302,RN223,,RNSIT MUN Society,South,Vrishabhavati Valley
127,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A23,Right hand side (RHS),12.8952603 77.5283686 760.2000122070312 3.0,12.8952603,77.5283686,760.2000122,3,2026/02/22 11:38:00+0530,,Retaining wall intact throughout the stretch,4,There is no fence ,Reinforced Cement Concrete (RCC),1771740568383.jpg,,1771740580974.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,No,,,No,,,No,,,OK,677290661,38002104-8d2b-4381-88fc-2b0e9cf0039a,22-02-2026 06:49,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:38002104-8d2b-4381-88fc-2b0e9cf0039a,RN223,,RNSIT MUN Society,South,Vrishabhavati Valley
128,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A27,Left hand side (LHS),12.9150511 77.5059345 724.7000122070312 4.993,12.9150511,77.5059345,724.7000122,4.993,2026/02/22 10:56:00+0530,,Retaining wall intact throughout the stretch,5.8,"Yes, covered only on sides","Both, SSM and RCC",1771737998160.jpg,,1771738013988.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,Yes,1771738087656.jpg,,No,,,Yes,1771738100119.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290678/attachments/attHrhw8yM74APr6mcj2F7ed/,OK,677290678,fb6c120a-ee72-4b2a-bc7c-da831ab99e7d,22-02-2026 06:49,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:fb6c120a-ee72-4b2a-bc7c-da831ab99e7d,RN223,,RNSIT MUN Society,West,Vrishabhavati Valley
129,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A22,Left hand side (LHS),12.8992698 77.5390267 762.314453125 4.836,12.8992698,77.5390267,762.3144531,4.836,2026/02/22 11:04:00+0530,,Retaining wall intact throughout the stretch,2.5,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1771738533689.jpg,,1771738576161.jpg,,,"Vehicular, I can see vehicles on the bridge",Intact;  path and fence not broken ,Obstructed path (solid waste),1771738646468.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290683/attachments/attDiNDprYmXXeFPMAnTfaEH/,No,0,,,,No,,,No,,,Yes,1771738707623.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290683/attachments/attScCNaKCj5v77qkPSV5yHK/,OK,677290683,e3896a4c-7245-4baf-aa3a-bebb9674abcc,22-02-2026 06:49,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:e3896a4c-7245-4baf-aa3a-bebb9674abcc,RN223,,RNSIT MUN Society,South,Vrishabhavati Valley
130,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A23,Left hand side (LHS),"12.895402, 77.5313309",12.895402,77.5313309,,,2026/02/22 12:01:00+0530,,Retaining wall intact throughout the stretch,2,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1771741929565.jpg,,1771741946692.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,No,,,No,,,No,,,OK,677290726,990d33b4-75ad-4d5c-a696-d7014044aab6,22-02-2026 06:49,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:990d33b4-75ad-4d5c-a696-d7014044aab6,RN223,,RNSIT MUN Society,South,Vrishabhavati Valley
131,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A22,Left hand side (LHS),12.9002445 77.5405983 757.041748046875 3.988,12.9002445,77.5405983,757.041748,3.988,2026/02/22 11:19:00+0530,,Broken in some places,2,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1771739458831.jpg,,1771739498418.jpg,,,"Vehicular, I can see vehicles on the bridge",Broken wall/fence,Obstructed path (solid waste),1771739538546.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290751/attachments/att7wRhsWiwiGcmM4yfahFBv/,No,0,,,,Yes,1771739566368.jpg,,Yes,1771739458831.jpg,,Yes,1771739616571.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290751/attachments/attUpnCUKa4Ve38Xb2zouyDb/,OK,677290751,66e30e3f-bcb4-45c7-a26e-e23b626fbf4f,22-02-2026 06:49,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:66e30e3f-bcb4-45c7-a26e-e23b626fbf4f,RN223,,RNSIT MUN Society,South,Vrishabhavati Valley
132,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A22,Right hand side (RHS),12.9009837 77.5410627 762.1697998046875 4.09,12.9009837,77.5410627,762.1697998,4.09,2026/02/22 11:30:00+0530,,Retaining wall intact throughout the stretch,4.7,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1771740048720.jpg,,1771740060519.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,Yes,1771740109958.jpg,,No,,,Yes,1771740134220.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290800/attachments/attDV3octfroD29UbDrJX65Z/,OK,677290800,87c58c9a-6ea4-48be-9863-9bb47b60456a,22-02-2026 06:49,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:87c58c9a-6ea4-48be-9863-9bb47b60456a,RN223,,RNSIT MUN Society,South,Vrishabhavati Valley
133,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A23,Left hand side (LHS),12.8951188 77.5290378 761.0 3.79,12.8951188,77.5290378,761,3.79,2026/02/22 11:54:00+0530,,Retaining wall intact throughout the stretch,2,There is no fence ,Reinforced Cement Concrete (RCC),1771741541004.jpg,,1771741551048.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,No,,,No,,,Yes,1771741661177.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290826/attachments/attQQvJrAMf92DYt59y8MYaE/,OK,677290826,7a985d56-8869-41b2-bb32-fb4f355dbe42,22-02-2026 06:49,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:7a985d56-8869-41b2-bb32-fb4f355dbe42,RN223,,RNSIT MUN Society,South,Vrishabhavati Valley
134,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A22,Right hand side (RHS),12.9019384 77.5416545 764.468505859375 4.608,12.9019384,77.5416545,764.4685059,4.608,2026/02/22 11:46:00+0530,,Broken in some places,3.5,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1771741082867.jpg,,1771741101178.jpg,,,"Vehicular, I can see vehicles on the bridge",Intact;  path and fence not broken ,Safe to walk (clear path),1771741142313.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290845/attachments/attsmYFm4g2zxSJrRekPndjS/,No,0,,,,Yes,1771741198644.jpg,,Yes,,,Yes,1771741216430.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677290845/attachments/attsx8YssXG9yJMvZRLznwy4/,OK,677290845,8ca818ad-2020-472a-b35a-70c630d1980d,22-02-2026 06:49,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:8ca818ad-2020-472a-b35a-70c630d1980d,RN223,,RNSIT MUN Society,South,Vrishabhavati Valley
135,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A28,Right hand side (RHS),12.9386491 77.7164541 796.7000122070312 4.649,12.9386491,77.7164541,796.7000122,4.649,2026/02/22 10:27:00+0530,,Retaining wall intact throughout the stretch,1,There is no fence ,Reinforced Cement Concrete (RCC),1771736360497.jpg,,1771736398374.jpg,,,"Pedestrian, I see only people walking on the bridge",Intact;  path and fence not broken ,Safe to walk (clear path),1771736459831.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677300204/attachments/attojjGVHY3VADTkR5LLu6HH/,No,0,1771736505909.jpg,,,Yes,1771736532845.jpg,,No,,,No,,,OK,677300204,262da35e-10dd-46da-9da7-10f660cb23b4,22-02-2026 07:14,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:262da35e-10dd-46da-9da7-10f660cb23b4,MD355,,APU ESS Club,East,Koramangala Challaghatta Valley
136,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A28,Right hand side (RHS),12.9380484 77.7133712 798.0 6.0,12.9380484,77.7133712,798,6,2026/02/22 11:04:00+0530,,Retaining wall intact throughout the stretch,3.5,There is no fence ,Reinforced Cement Concrete (RCC),1771738533051.jpg,,1771738547233.jpg,,,"Pedestrian, I see only people walking on the bridge",Intact;  path and fence not broken ,Obstructed path (parking),1771738599656.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677300512/attachments/attBQnZREZWbYdZjWLFcsbMj/,No,0,1771738623533.jpg,,,No,,,Yes,1771738590273.jpg,,No,,,OK,677300512,0fcdebfe-c831-4413-b62c-162834fcf428,22-02-2026 07:15,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:0fcdebfe-c831-4413-b62c-162834fcf428,MD355,,APU ESS Club,East,Koramangala Challaghatta Valley
137,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A28,Right hand side (RHS),12.938352 77.7145061 796.8999633789062 4.466,12.938352,77.7145061,796.8999634,4.466,2026/02/22 10:50:00+0530,,Retaining wall does not exist,0.5,There is no fence ,Reinforced Cement Concrete (RCC),1771737813948.jpg,,1771737935157.jpg,,,"Vehicular, I can see vehicles on the bridge",Intact;  path and fence not broken ,Safe to walk (clear path),1771737999561.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677322545/attachments/att7GHVUJXoyREbgaZRAFJFD/,No,0,1771738026599.jpg,,,Yes,1771738052568.jpg,,Yes,1771738061142.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677322545/attachments/attUEABvz9nEpE3LXidwKq47/,No,,,OK,677322545,01a1c7f5-1c68-49b5-ab59-767ca426d68a,22-02-2026 08:06,yes,,submitted_via_web,,v3tpAA3xLp479pfhqUuXwb,,uuid:01a1c7f5-1c68-49b5-ab59-767ca426d68a,MD355,,APU ESS Club,East,Koramangala Challaghatta Valley
138,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A17,Left hand side (LHS),12.9817087 77.6155878 825.5 4.225,12.9817087,77.6155878,825.5,4.225,2026/02/22 09:14:00+0530,,Broken in some places,5,There is no fence ,"Both, SSM and RCC",1771732173546.jpg,,1771732235491.jpg,,,"Vehicular, I can see vehicles on the bridge",Broken wall/fence,Safe to walk (clear path),1771732391589.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677405538/attachments/attRPYaurcM9sBjExVuoXZX5/,Yes,5,,,,Yes,1771732849261.jpg,,No,1771732896894.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677405538/attachments/atteB8hrTXeG7MVHoNfibaR6/,Cannot see,1771732929718.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677405538/attachments/att9aTdNc62jBaoEDPWdgSRw/,OK,677405538,ac36fe67-5f85-43b4-b55f-dd1d96d9b7bc,22-02-2026 10:49,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:ac36fe67-5f85-43b4-b55f-dd1d96d9b7bc,C100,,MCC,Central,Koramangala Challaghatta Valley
139,22-02-2026,22-02-2026,,,"No, I do not feel safe. I will stop the audit at this point.",A17,Right hand side (RHS),12.9828041 77.6129049 828.2999877929688 4.792,12.9828041,77.6129049,828.2999878,4.792,2026/02/22 09:39:00+0530,,Retaining wall does not exist,0,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1771733982725.jpg,,1771734068426.jpg,,,"Vehicular, I can see vehicles on the bridge",Broken wall/fence,Safe to walk (clear path),1771734157167.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677405692/attachments/att6dLh5STerbkJN5m2jAbqg/,Yes,1,1771734244096.jpg,,,Yes,1771734282770.jpg,,No,1771734315472.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677405692/attachments/attYHbVeEfPN2didW4cVgvNx/,No,1771734342842.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677405692/attachments/attS7v7wTzuy93z4edAefHaB/,OK,677405692,ea7564f4-d48e-4b29-bd53-bdfe6da009e0,22-02-2026 10:50,,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:ea7564f4-d48e-4b29-bd53-bdfe6da009e0,C100,,MCC,Central,Koramangala Challaghatta Valley
140,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A17,Left hand side (LHS),12.9827093 77.6135043 827.2000122070312 4.133,12.9827093,77.6135043,827.2000122,4.133,2026/02/22 10:13:00+0530,,Broken in some places,5.8,There is no fence ,Reinforced Cement Concrete (RCC),1771735637798.jpg,,1771735677413.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,No,1771735818490.jpg,,No,,,Cannot see,,,OK,677406083,b08f3615-89eb-42d7-b14a-aff1def87321,22-02-2026 10:51,,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:b08f3615-89eb-42d7-b14a-aff1def87321,C100,,MCC,Central,Koramangala Challaghatta Valley
141,22-02-2026,22-02-2026,,,"No, I do not feel safe. I will stop the audit at this point.",A17,Left hand side (LHS),12.9831771 77.6127634 827.8999633789062 4.676,12.9831771,77.6127634,827.8999634,4.676,2026/02/22 10:28:00+0530,,Retaining wall intact throughout the stretch,4.8,There is no fence ,Reinforced Cement Concrete (RCC),1771736368133.jpg,,1771736396991.jpg,,,"Vehicular, I can see vehicles on the bridge",Intact;  path and fence not broken ,Safe to walk (clear path),1771736505213.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677406273/attachments/attkxCY3PHWnHGUTxFdtqDFX/,Yes,1,1771736526695.jpg,,,Yes,1771736552090.jpg,,No,,,Yes,1771736656385.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677406273/attachments/att4D6YZXYWUTsFfaGMtbBak/,OK,677406273,aeee84b0-f018-4ec9-aa4a-dccd06826fd0,22-02-2026 10:51,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:aeee84b0-f018-4ec9-aa4a-dccd06826fd0,C100,,MCC,Central,Koramangala Challaghatta Valley
142,22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct the audit",A17,Left hand side (LHS),12.9835217 77.6126278 828.5 4.41,12.9835217,77.6126278,828.5,4.41,2026/02/22 10:35:00+0530,,Retaining wall intact throughout the stretch,5.4,There is no fence ,Reinforced Cement Concrete (RCC),1771736813089.jpg,,1771736827201.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,Yes,1771736877685.jpg,,Yes,1771736905518.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677406438/attachments/attdFqgd5kfKuymzwbDyeCoV/,Yes,1771736919651.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/677406438/attachments/attzzMBMdMs3XG9eAEvVPMBy/,OK,677406438,d6075e33-32d2-457d-bd46-9a4be69a4f8a,22-02-2026 10:52,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:d6075e33-32d2-457d-bd46-9a4be69a4f8a,C100,,MCC,Central,Koramangala Challaghatta Valley
